id;start_date;end_date;language
1;2024-01-05T06:24:31;2024-01-05T02:10:56;SPANISH
2;2024-01-04T12:38:41;2024-01-04T21:38:37;ENGLISH
3;2024-01-04T19:56:47;2024-01-04T12:12:42;FRENCH
4;2024-01-04T11:14:10;2024-01-04T19:13:39;SPANISH
5;2024-01-05T07:06:07;2024-01-05T06:38:13;FRENCH
6;2024-01-05T03:21:32;2024-01-05T09:54:53;SPANISH
7;2024-01-04T22:51:34;2024-01-04T11:12:42;FRENCH
8;2024-01-04T17:20:34;2024-01-04T23:18:18;SPANISH
9;2024-01-05T09:12:27;2024-01-05T09:00:13;SPANISH
10;2024-01-04T15:53:55;2024-01-05T09:56:18;FRENCH
